TYPO,CORRECTION
A igle,Aigle
A irbus,Airbus
Aibus,Airbus
Ambraer,Embraer
Auche,Auch
Blaganc,Blagnac
Boredaux,Bordeaux
Caracassone,Carcassonne
Caracassonne,Carcassonne
E asy,easy
Garone,Garonne
Germarnia,Germania
J ersey,Jersey
Juliett,juliett
Lufhthansa,Lufthansa
Lutfhansa,Lufthansa
Mediterrannee,Mediterranee
R oyalair,Royalair
Rynair,ryanair
S peedbird,Speedbird
Shcool,School
Speedird,Speedbird
T urkish,Turkish
absolutly,absolutely
abuot,about
accross,across
actived,active
adise,advise
aerea,area
affrim,affirm
afternooon,afternoon
airborn,airborne
airfied,airfield
allright,alright
alpha,alfa
altitutde,altitude
ambraer,Embraer
apporach,approach
approchaing,approaching
appron,apron
aproaching,approaching
authorised,authorized
avise,advise
beacause,because
begining,beginning
behing,behind
canceled,cancelled
canceled,cancelled
cannnot,cannot
carcassone,carcassonne
chalie,charlie
chanbaran,chambaran
charli,charlie
chose,choose
cicling,cycling
claered,cleared
claered,cleared
cleaed,cleared
clearead,cleared
clmibing,climbing
clmibing,climbing
cntinue,continue
collegue,colleague
communcations,communications
compagny,company
completly,completely
contine,continue
corssing,crossing
crear,clear
cuation,caution
decsend,descend
deegres,degrees
degress,degrees
degrezs,degrees
deicmal,decimal
delt,delta
deltat,delta
desceding,descending
descedning,descending
descendig,descending
descendind,descending
descendning,descending
desending,descending
dew point,dewpoint
dew point,dewpoint
direc,direct
directionnal,directional
dirzct,direct
dosen,dozen
efficial,official
eigteen,eighteen
eihgt,eight
eleve,eleven
estabilshed,established
establised,established
etablished,established
eurowing,eurowings
evenging,evening
excercises,exercises
excpecting,expecting
exercice,exercise
expact,expect
feets,feet
fiftt,fifth
filght,flight
folow,follow
foxtrottrot,foxtrot
foxtrox,foxtrot
freqency,frequency
frequencie,frequency
gofle,golf
goiing,going
goind,going
headint,heading
heaing,heading
heding,heading
helo,hello
huuh,huh
incercept,intercept
indi,india
indiaa,india
inforation,information
informtation,information
initialy,initially
inormation,information
interecept,intercept
invisibile,invisible
isibility,visibility
issus,issues
juliet,juliett
juste,just
kots,knots
lefft,left
ligth,light
lineup,line up
maintaing,maintaining
mainting,maintaining
manoevering,maneuvering
maximium,maximum
merginac,merignac
mimimum,minimum
minmum,minimum
minuts,minutes
monring,morning
narac,narak 
nform,inform
nformation,information
nine,niner
nostrun,nostrum
nothern,northern
novemner,november
onee,one
onr,one
oposite,opposite
osacar,oscar
oskar,oscar
ovecast,overcast
ox-trot,foxtrot
oxgyen,oxygen
parallele,parallel
parrallel,parallel
practise,practice
pressur,pressure
proceding,proceeding
progres,progress
qfternoon,afternoon
qoogbye,goodbye
reday,ready
reques,request
restablished,established
reveiced,received
reveived,received
rght,right
rightwind,right wind
rigt,right
rigth,right
runxay,runway
rurn,turn
rwunay,runway
ryunway,runway
sart,start
scatered,scatered
servive,service
shoud,should
signigicant,significant
standbye,standby
sveen,seven
teecas,tcas
temperaure,temperature
thaat,that
thosuand,thousand
thre,three
thresold,threshold
throught,through
top swiss,Topswiss
topwiss,Topswiss
tousand,thousand
transtition,transition
trhee,three
trun,turn
turnright,turn right
twonine,two nine
twwo,two
unifom,uniform
unifrom,uniform
vavaction,vacation
vecor,vector
vecotrs,vectors
vectoing,vectoring
vectorc,vector
vectorings,vectoring
vetoring,vectoring
vetors,vector
vicor,victor
victo,victor
viktor,victor
visibitity,visibility
weahter,weather
white star,Whitestar
whyskey,whiskey
wishky,whiskey
witho,without
wouldd,would
Midlands,Midland
Middland,Midland
Novelair,Nouvelair
Swiftair,Swift Air
